share,SVM_best_params,RF_best_params,LinReg_best_params,KNN_best_params,LASSO_best_params,Ridge_best_params,Light_GBM_best_params,XGBoost_best_params,Catboost_best_params,NN_best_params
SBER_RM_Equity_premium,"{'C': 15.07836973186829, 'gamma': 0.0006856125576980087, 'kernel': 'rbf'}","{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 40, 'algorithm': 'brute'}","{'tol': 0.01, 'random_state': 0, 'normalize': True, 'alpha': 0.0001}","{'tol': 1, 'random_state': 0, 'normalize': True, 'alpha': 1}","{'boosting_type': 'dart', 'colsample_bytree': 0.808209199609001, 'importance_type': 'split', 'learning_rate': 0.5, 'max_depth': 1, 'min_child_samples': 250, 'min_child_weight': 0.1, 'n_estimators': 600, 'num_leaves': 26, 'random_state': 0, 'reg_alpha': 2, 'reg_lambda': 50, 'subsample': 0.6736645301430069}","{'colsample_bytree': 0.5113815665835714, 'learning_rate': 0.05, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 200, 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.9042380824920038}","{'depth': 1, 'iterations': 91, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'silent': True}",
GAZP_RM_Equity_premium,"{'C': 86.63279761354555, 'gamma': 0.00027389695952346967, 'kernel': 'linear'}","{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}",,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 40, 'algorithm': 'brute'}","{'tol': 10, 'random_state': 0, 'normalize': False, 'alpha': 0.001}","{'tol': 1e-06, 'random_state': 0, 'normalize': False, 'alpha': 1}","{'boosting_type': 'gbdt', 'colsample_bytree': 0.4302220340545263, 'importance_type': 'split', 'learning_rate': 0.05, 'max_depth': 1, 'min_child_samples': 125, 'min_child_weight': 0.1, 'n_estimators': 600, 'num_leaves': 41, 'random_state': 0, 'reg_alpha': 1, 'reg_lambda': 50, 'subsample': 0.8006753965027453}","{'colsample_bytree': 0.627420263262291, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 300, 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.441278907584754}","{'depth': 1, 'iterations': 91, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'silent': True}",
LKOH_RM_Equity_premium,"{'C': 86.63279761354555, 'gamma': 0.00027389695952346967, 'kernel': 'linear'}","{'n_estimators': 150, 'min_samples_split': 3, 'min_samples_leaf': 10, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",,"{'weights': 'distance', 'p': 2, 'n_neighbors': 150, 'algorithm': 'brute'}","{'tol': 0.01, 'random_state': 0, 'normalize': True, 'alpha': 0.0001}","{'tol': 1e-06, 'random_state': 0, 'normalize': True, 'alpha': 0.1}","{'boosting_type': 'gbdt', 'colsample_bytree': 0.4302220340545263, 'importance_type': 'split', 'learning_rate': 0.05, 'max_depth': 1, 'min_child_samples': 125, 'min_child_weight': 0.1, 'n_estimators': 600, 'num_leaves': 41, 'random_state': 0, 'reg_alpha': 1, 'reg_lambda': 50, 'subsample': 0.8006753965027453}","{'colsample_bytree': 0.9422318438475601, 'learning_rate': 0.1, 'max_depth': 1, 'min_child_weight': 1e-05, 'n_estimators': 300, 'random_state': 0, 'reg_alpha': 2, 'reg_lambda': 1, 'subsample': 0.4295320346404837}","{'depth': 1, 'iterations': 91, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'silent': True}",
GMKN_RM_Equity_premium,"{'C': 743.8159327920404, 'gamma': 0.00013814996537780502, 'kernel': 'rbf'}","{'n_estimators': 150, 'min_samples_split': 3, 'min_samples_leaf': 10, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 60, 'algorithm': 'brute'}","{'tol': 0.01, 'random_state': 0, 'normalize': True, 'alpha': 0.0001}","{'tol': 1e-06, 'random_state': 0, 'normalize': False, 'alpha': 1}","{'boosting_type': 'dart', 'colsample_bytree': 0.808209199609001, 'importance_type': 'split', 'learning_rate': 0.5, 'max_depth': 1, 'min_child_samples': 250, 'min_child_weight': 0.1, 'n_estimators': 600, 'num_leaves': 26, 'random_state': 0, 'reg_alpha': 2, 'reg_lambda': 50, 'subsample': 0.6736645301430069}","{'colsample_bytree': 0.6239744504699529, 'learning_rate': 0.5, 'max_depth': 3, 'min_child_weight': 0.01, 'n_estimators': 600, 'random_state': 0, 'reg_alpha': 2, 'reg_lambda': 100, 'subsample': 0.2133023789870938}","{'depth': 1, 'iterations': 91, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'silent': True}",
NVTK_RM_Equity_premium,"{'C': 237.23300729921922, 'gamma': 0.000337983049214134, 'kernel': 'rbf'}","{'n_estimators': 400, 'min_samples_split': 3, 'min_samples_leaf': 70, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}",,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 80, 'algorithm': 'kd_tree'}","{'tol': 0.01, 'random_state': 0, 'normalize': True, 'alpha': 1e-06}","{'tol': 0.001, 'random_state': 0, 'normalize': True, 'alpha': 0.0001}","{'boosting_type': 'gbdt', 'colsample_bytree': 0.4302220340545263, 'importance_type': 'split', 'learning_rate': 0.05, 'max_depth': 1, 'min_child_samples': 125, 'min_child_weight': 0.1, 'n_estimators': 600, 'num_leaves': 41, 'random_state': 0, 'reg_alpha': 1, 'reg_lambda': 50, 'subsample': 0.8006753965027453}","{'colsample_bytree': 0.9035134733551914, 'learning_rate': 0.1, 'max_depth': 1, 'min_child_weight': 0.01, 'n_estimators': 400, 'random_state': 0, 'reg_alpha': 0.1, 'reg_lambda': 100, 'subsample': 0.6388152770238482}","{'depth': 1, 'iterations': 24, 'l2_leaf_reg': 7, 'learning_rate': 0.1, 'silent': True}",
SNGS_RM_Equity_premium,"{'C': 15.07836973186829, 'gamma': 0.0006856125576980087, 'kernel': 'rbf'}","{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 25, 'algorithm': 'kd_tree'}","{'tol': 0.01, 'random_state': 0, 'normalize': False, 'alpha': 0.001}","{'tol': 1e-06, 'random_state': 0, 'normalize': False, 'alpha': 1}","{'boosting_type': 'gbdt', 'colsample_bytree': 0.8062489444162513, 'importance_type': 'split', 'learning_rate': 0.01, 'max_depth': 2, 'min_child_samples': 205, 'min_child_weight': 1e-05, 'n_estimators': 100, 'num_leaves': 48, 'random_state': 0, 'reg_alpha': 5, 'reg_lambda': 50, 'subsample': 0.3833754584692636}","{'colsample_bytree': 0.99930820394072, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 10000.0, 'n_estimators': 300, 'random_state': 0, 'reg_alpha': 2, 'reg_lambda': 0.1, 'subsample': 0.2990559862795532}","{'depth': 4, 'iterations': 98, 'l2_leaf_reg': 3, 'learning_rate': 0.01, 'silent': True}",
PLZL_RM_Equity_premium,"{'C': 237.23300729921922, 'gamma': 0.000337983049214134, 'kernel': 'rbf'}","{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 70, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': True}",,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 150, 'algorithm': 'kd_tree'}","{'tol': 0.0001, 'random_state': 0, 'normalize': True, 'alpha': 0.01}","{'tol': 1e-06, 'random_state': 0, 'normalize': False, 'alpha': 1}","{'boosting_type': 'dart', 'colsample_bytree': 0.5871669972877611, 'importance_type': 'gain', 'learning_rate': 0.05, 'max_depth': -1, 'min_child_samples': 102, 'min_child_weight': 10.0, 'n_estimators': 600, 'num_leaves': 8, 'random_state': 0, 'reg_alpha': 7, 'reg_lambda': 100, 'subsample': 0.2682364526869605}","{'colsample_bytree': 0.4612268864488169, 'learning_rate': 1, 'max_depth': 5, 'min_child_weight': 0.1, 'n_estimators': 600, 'random_state': 0, 'reg_alpha': 5, 'reg_lambda': 10, 'subsample': 0.4026332820318257}","{'depth': 1, 'iterations': 19, 'l2_leaf_reg': 9, 'learning_rate': 0.01, 'silent': True}",
TATN_RM_Equity_premium,"{'C': 743.8159327920404, 'gamma': 0.00013814996537780502, 'kernel': 'rbf'}","{'n_estimators': 150, 'min_samples_split': 3, 'min_samples_leaf': 10, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 80, 'algorithm': 'kd_tree'}","{'tol': 10, 'random_state': 0, 'normalize': False, 'alpha': 0.001}","{'tol': 1e-06, 'random_state': 0, 'normalize': False, 'alpha': 1}","{'boosting_type': 'goss', 'colsample_bytree': 0.8733236666316784, 'importance_type': 'split', 'learning_rate': 0.01, 'max_depth': 4, 'min_child_samples': 163, 'min_child_weight': 1, 'n_estimators': 200, 'num_leaves': 33, 'random_state': 0, 'reg_alpha': 2, 'reg_lambda': 5, 'subsample': 0.24274174542946023}","{'colsample_bytree': 0.5113815665835714, 'learning_rate': 0.05, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 200, 'random_state': 0, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.9042380824920038}","{'depth': 1, 'iterations': 91, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'silent': True}",
ROSN_RM_Equity_premium,"{'C': 237.23300729921922, 'gamma': 0.000337983049214134, 'kernel': 'rbf'}","{'n_estimators': 400, 'min_samples_split': 3, 'min_samples_leaf': 70, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}",,"{'weights': 'distance', 'p': 2, 'n_neighbors': 150, 'algorithm': 'brute'}","{'tol': 10, 'random_state': 0, 'normalize': False, 'alpha': 0.001}","{'tol': 1e-06, 'random_state': 0, 'normalize': False, 'alpha': 1}","{'boosting_type': 'goss', 'colsample_bytree': 0.8733236666316784, 'importance_type': 'split', 'learning_rate': 0.01, 'max_depth': 4, 'min_child_samples': 163, 'min_child_weight': 1, 'n_estimators': 200, 'num_leaves': 33, 'random_state': 0, 'reg_alpha': 2, 'reg_lambda': 5, 'subsample': 0.24274174542946023}","{'colsample_bytree': 0.6061633018888593, 'learning_rate': 0.1, 'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 200, 'random_state': 0, 'reg_alpha': 2, 'reg_lambda': 5, 'subsample': 0.24274174542946023}","{'depth': 1, 'iterations': 91, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'silent': True}",
MGNT_RM_Equity_premium,"{'C': 15.07836973186829, 'gamma': 0.0006856125576980087, 'kernel': 'rbf'}","{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': True}",,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 60, 'algorithm': 'brute'}","{'tol': 0.01, 'random_state': 0, 'normalize': False, 'alpha': 0.001}","{'tol': 1, 'random_state': 0, 'normalize': True, 'alpha': 1}","{'boosting_type': 'dart', 'colsample_bytree': 0.5626680350480417, 'importance_type': 'gain', 'learning_rate': 1e-06, 'max_depth': 3, 'min_child_samples': 439, 'min_child_weight': 0.1, 'n_estimators': 400, 'num_leaves': 19, 'random_state': 0, 'reg_alpha': 5, 'reg_lambda': 0.1, 'subsample': 0.29385245134655513}","{'colsample_bytree': 0.9712856183772525, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 100, 'random_state': 0, 'reg_alpha': 5, 'reg_lambda': 100, 'subsample': 0.3281843730561146}","{'depth': 1, 'iterations': 91, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'silent': True}",
