#Date;Value 18:50 MSK
2021-03-19;74.2706
2021-03-18;74.1646
2021-03-17;73.984
2021-03-16;72.8278
2021-03-15;73.1345
2021-03-12;73.3807
2021-03-11;73.4281
2021-03-10;73.7334
2021-03-09;73.9528
2021-03-05;74.304
2021-03-04;73.577
2021-03-03;74.0315
2021-03-02;73.9603
2021-03-01;73.9223
2021-02-26;74.6686
2021-02-25;74.0595
2021-02-24;73.7598
2021-02-22;74.3309
2021-02-20;74.0656
2021-02-19;73.981
2021-02-18;74.0395
2021-02-17;74.036
2021-02-16;73.6718
2021-02-15;73.3012
2021-02-12;73.845
2021-02-11;73.603
2021-02-10;73.9458
2021-02-09;74.0488
2021-02-08;74.2387
2021-02-05;74.6484
2021-02-04;75.7287
2021-02-03;75.9381
2021-02-02;75.6652
2021-02-01;76.0129
2021-01-29;75.484
2021-01-28;76.0347
2021-01-27;75.6135
2021-01-26;75.0668
2021-01-25;75.7978
2021-01-22;75.1395
2021-01-21;73.6567
2021-01-20;73.4492
2021-01-19;73.7571
2021-01-18;74.1581
2021-01-15;73.7393
2021-01-14;73.2849
2021-01-13;73.5289
2021-01-12;73.6482
2021-01-11;74.8048
2021-01-08;74.2138
2021-01-06;73.9155
2021-01-05;74.2024
2021-01-04;74.0773
2020-12-30;74.6769
2020-12-29;73.7651
2020-12-28;73.7895
2020-12-25;74.1945
2020-12-24;73.9798
2020-12-23;74.9568
2020-12-22;75.4428
2020-12-21;75.137
2020-12-18;73.5329
2020-12-17;72.865
2020-12-16;73.5765
2020-12-15;73.5893
2020-12-14;73.3374
2020-12-11;73.056
2020-12-10;73.073
2020-12-09;73.7169
2020-12-08;73.3988
2020-12-07;73.5295
2020-12-04;73.9106
2020-12-03;74.3841
2020-12-02;75.241
2020-12-01;75.6358
2020-11-30;76.3634
2020-11-27;76.0128
2020-11-26;75.6412
2020-11-25;75.8501
2020-11-24;75.7706
2020-11-23;76.3755
2020-11-20;76.1186
2020-11-19;76.2335
2020-11-18;76.0116
2020-11-17;76.4041
2020-11-16;76.4761
2020-11-13;77.6204
2020-11-12;76.9677
2020-11-11;76.9813
2020-11-10;76.6201
2020-11-09;76.1311
2020-11-06;77.4163
2020-11-05;76.9938
2020-11-03;79.2113
2020-11-02;80.6471
2020-10-30;79.4671
2020-10-29;79.0952
2020-10-28;78.6892
2020-10-27;76.935
2020-10-26;76.1519
2020-10-23;76.2267
2020-10-22;76.4392
2020-10-21;76.7631
2020-10-20;77.4114
2020-10-19;77.547
2020-10-16;77.8529
2020-10-15;78.382
2020-10-14;77.5428
2020-10-13;77.0918
2020-10-12;77.0997
2020-10-09;76.6786
2020-10-08;77.3784
2020-10-07;78.279
2020-10-06;77.9894
2020-10-05;78.411
2020-10-02;78.2685
2020-10-01;77.51
2020-09-30;77.674
2020-09-29;79.3265
2020-09-28;79.0261
2020-09-25;78.3535
2020-09-24;77.1736
2020-09-23;76.8317
2020-09-22;76.1678
2020-09-21;76.3705
2020-09-18;75.6835
2020-09-17;75.2973
2020-09-16;74.8643
2020-09-15;74.8955
2020-09-14;75.0933
2020-09-11;74.9662
2020-09-10;75.0288
2020-09-09;75.4181
2020-09-08;76.5073
2020-09-07;75.8081
2020-09-04;75.4379
2020-09-03;75.5078
2020-09-02;75.4251
2020-09-01;73.534
2020-08-31;74.2424
2020-08-28;74.1784
2020-08-27;75.016
2020-08-26;75.5111
2020-08-25;75.3037
2020-08-24;74.469
2020-08-21;74.7764
2020-08-20;74.094
2020-08-19;73.1488
2020-08-18;73.2768
2020-08-17;73.4761
2020-08-14;72.8655
2020-08-13;73.176
2020-08-12;73.6026
2020-08-11;73.0579
2020-08-10;73.5598
2020-08-07;73.6455
2020-08-06;73.4102
2020-08-05;72.7875
2020-08-04;73.5073
2020-08-03;73.4045
2020-07-31;74.3012
2020-07-30;73.6876
2020-07-29;72.6192
2020-07-28;72.5245
2020-07-27;71.7758
2020-07-24;71.8121
2020-07-23;71.2081
2020-07-22;71.1479
2020-07-21;70.6633
2020-07-20;71.4298
2020-07-17;71.8745
2020-07-16;71.2713
2020-07-15;70.9983
2020-07-14;71.0548
2020-07-13;70.6032
2020-07-10;70.8353
2020-07-09;71.0074
2020-07-08;71.218
2020-07-07;71.324
2020-07-06;71.6151
2020-07-03;71.4536
2020-07-02;70.3794
2020-06-30;71.2637
2020-06-29;70.3303
2020-06-26;69.7828
2020-06-25;69.1783
2020-06-23;68.6504
2020-06-22;69.2648
2020-06-19;69.5418
2020-06-18;69.734
2020-06-17;69.7287
2020-06-16;69.6679
2020-06-15;70.1183
2020-06-11;69.8125
2020-06-10;68.6758
2020-06-09;68.5792
2020-06-08;68.355
2020-06-05;68.4234
2020-06-04;69.3092
2020-06-03;68.5047
2020-06-02;68.9409
2020-06-01;69.4435
2020-05-29;70.6311
2020-05-28;70.5247
2020-05-27;71.2328
2020-05-26;70.8238
2020-05-25;71.6008
2020-05-22;71.816
2020-05-21;70.9987
2020-05-20;71.2263
2020-05-19;72.5639
2020-05-18;72.6745
2020-05-15;73.7829
2020-05-14;73.982
2020-05-13;73.9056
2020-05-12;73.1836
2020-05-08;73.2302
2020-05-07;73.6601
2020-05-06;74.6038
2020-05-05;73.7686
2020-05-04;75.2048
2020-04-30;74.2186
2020-04-29;73.2933
2020-04-28;74.1628
2020-04-27;74.7357
2020-04-24;74.6398
2020-04-23;74.4653
2020-04-22;76.0479
2020-04-21;77.4375
2020-04-20;74.4846
2020-04-17;74.0317
2020-04-16;74.2604
2020-04-15;75.1972
2020-04-14;73.1614
2020-04-13;73.6147
2020-04-10;73.8648
2020-04-09;73.6583
2020-04-08;75.4658
2020-04-07;75.4707
2020-04-06;76.2555
2020-04-03;77.181
2020-04-02;77.5609
2020-04-01;78.8904
2020-03-31;77.9078
2020-03-30;79.9714
2020-03-27;79.1763
2020-03-26;77.1263
2020-03-25;78.7058
2020-03-24;78.8428
2020-03-23;80.32
2020-03-20;79.4734
2020-03-19;79.4225
2020-03-18;79.9663
2020-03-17;74.9837
2020-03-16;73.8543
2020-03-13;73.5824
2020-03-12;74.5306
2020-03-11;72.3005
2020-03-10;71.9464
2020-03-06;68.103
2020-03-05;67.0272
2020-03-04;66.0801
2020-03-03;65.447
2020-03-02;66.8429
2020-02-28;67.5054
2020-02-27;66.2643
2020-02-26;65.0519
2020-02-25;65.4105
2020-02-21;64.1742
2020-02-20;64.1013
2020-02-19;63.6257
2020-02-18;63.8977
2020-02-17;63.4852
2020-02-14;63.5606
2020-02-13;63.4747
2020-02-12;63.154
2020-02-11;63.3818
2020-02-10;64.1459
2020-02-07;64.0663
2020-02-06;63.3695
2020-02-05;62.869
2020-02-04;63.0698
2020-02-03;63.595
2020-01-31;63.8869
2020-01-30;63.4015
